City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Yerkoy,TR,39.6381,34.4672,64.0,68,0,4.21,clear sky
183,Kabompo,ZM,-13.5927,24.2008,54.03,59,2,7.0,clear sky
184,Tucurui,BR,-3.7661,-49.6725,78.12,68,62,1.77,broken clouds
185,Galle,LK,6.0367,80.217,78.82,84,19,13.42,few clouds
186,Taoudenni,ML,22.6783,-3.9836,103.12,12,54,1.95,broken clouds
187,Manggar,ID,-2.8833,108.2667,79.77,84,97,4.94,overcast clouds
188,Bowen,AU,-20.0167,148.2333,55.36,55,0,4.34,clear sky
189,College,US,64.8569,-147.8028,67.21,60,75,11.5,smoke
190,Fairbanks,US,64.8378,-147.7164,67.23,58,75,11.5,smoke
191,Arona,ES,28.0996,-16.681,70.92,53,20,1.01,few clouds
192,Komsomolskiy,UZ,40.4272,71.7189,70.52,56,0,4.61,clear sky
193,Tavira,PT,37.1273,-7.6486,82.27,57,35,0.11,scattered clouds
194,Hilo,US,19.7297,-155.09,80.28,94,75,13.8,heavy intensity rain
195,La Peca,PE,-5.6111,-78.435,74.53,72,48,3.89,scattered clouds
196,Brighton,GB,50.8284,-0.1395,67.15,84,100,5.01,overcast clouds
197,Pachino,IT,36.7186,15.0907,75.13,67,5,0.18,clear sky
198,Sao Filipe,CV,14.8961,-24.4956,75.22,78,38,10.94,scattered clouds
199,Cangzhou,CN,38.3167,116.8667,79.34,75,20,5.1,few clouds
200,Boca Do Acre,BR,-8.7522,-67.3978,81.57,65,96,0.43,overcast clouds
201,Te Anau,NZ,-45.4167,167.7167,41.52,93,92,1.1,overcast clouds
202,Zhoucheng,CN,35.9122,116.3117,79.2,86,15,3.18,few clouds
203,San Patricio,US,28.017,-97.5169,95.72,41,15,17.56,few clouds
204,El Carrizo,MX,24.0261,-106.8814,88.83,62,55,5.75,broken clouds
205,Carnarvon,AU,-24.8667,113.6333,66.0,83,25,9.53,scattered clouds
206,Anderson,US,34.5334,-82.6499,80.26,94,0,6.91,clear sky
207,Aswan,EG,24.0934,32.907,87.28,21,27,14.65,scattered clouds
208,Moroni,KM,-11.7022,43.2551,76.33,74,71,10.27,broken clouds
209,Castro,BR,-24.7911,-50.0119,53.17,96,98,9.24,overcast clouds
210,Vila Velha,BR,-20.3297,-40.2925,73.35,85,40,14.0,scattered clouds
211,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,45.81,84,2,9.26,clear sky
212,Tambopata,PE,-12.7333,-69.1833,76.05,73,62,3.42,broken clouds
213,Lata,PT,40.1629,-8.3327,80.08,34,79,3.58,broken clouds
214,Victoria,HK,22.2855,114.1577,87.19,87,43,1.01,scattered clouds
215,Mar Del Plata,AR,-38.0023,-57.5575,54.09,72,0,15.99,clear sky
216,Kalakamati,BW,-20.5929,27.3121,52.02,52,0,7.9,clear sky
217,Jamestown,US,42.097,-79.2353,72.05,61,40,5.75,scattered clouds
218,Gorodishche,RU,48.8045,44.4744,68.88,94,60,8.95,broken clouds
219,Graaff-Reinet,ZA,-32.2522,24.5308,51.24,31,1,6.78,clear sky
220,Fortuna,US,40.5982,-124.1573,68.86,76,75,3.0,broken clouds
221,Quatre Cocos,MU,-20.2078,57.7625,66.31,73,82,15.86,light rain
222,Hamilton,US,39.1834,-84.5333,86.85,49,40,11.5,scattered clouds
223,Biltine,TD,14.5333,20.9167,81.03,62,100,6.71,overcast clouds
224,Narasannapeta,IN,18.4167,84.05,77.16,82,99,7.65,overcast clouds
225,Namatanai,PG,-3.6667,152.4333,81.88,79,100,6.11,moderate rain
226,Kanker,IN,20.2719,81.4931,74.16,93,100,0.69,overcast clouds
227,Lubbock,US,33.6001,-101.8338,97.38,18,40,6.91,scattered clouds
228,Quelimane,MZ,-17.8786,36.8883,64.11,81,0,3.51,clear sky
229,Port Elizabeth,ZA,-33.918,25.5701,61.32,60,0,15.01,clear sky
230,Kanniyakumari,IN,8.0833,77.5667,79.25,77,99,22.5,overcast clouds
231,Grindavik,IS,63.8424,-22.4338,48.15,93,75,10.36,broken clouds
232,Nanortalik,GL,60.1432,-45.2371,44.91,81,100,1.81,overcast clouds
233,Kambove,CD,-10.8764,26.5969,56.14,59,3,4.68,clear sky
234,Bohuslav,UA,49.5494,30.8744,55.89,95,30,14.0,scattered clouds
235,Thinadhoo,MV,0.5333,72.9333,83.32,74,99,12.08,overcast clouds
236,Kaitangata,NZ,-46.2817,169.8464,44.13,88,100,8.43,overcast clouds
237,Srednekolymsk,RU,67.45,153.6833,63.37,48,100,13.47,overcast clouds
238,Lebedyn,UA,50.5852,34.4849,55.87,94,99,12.41,overcast clouds
239,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,19.57,broken clouds
240,Yamethin,MM,20.4333,96.15,74.01,95,100,3.85,overcast clouds
241,Narsaq,GL,60.9167,-46.05,53.82,74,100,2.71,overcast clouds
242,Lagoa,PT,39.05,-27.9833,68.36,93,73,13.44,broken clouds
243,Latung,PH,5.5,120.8833,81.07,77,100,7.72,moderate rain
244,Labuhan,ID,-6.8844,112.2051,76.14,89,100,4.38,overcast clouds
245,Bitung,ID,1.4451,125.1824,83.25,86,100,4.38,overcast clouds
246,Lasa,IT,46.6166,10.7002,65.35,81,59,1.88,broken clouds
247,Sitka,US,57.0531,-135.33,57.09,82,75,6.91,broken clouds
248,Port Blair,IN,11.6667,92.75,80.64,89,75,6.91,mist
249,Mayo,US,38.8876,-76.5119,90.18,67,0,10.36,clear sky
250,Port Macquarie,AU,-31.4333,152.9167,52.61,82,62,18.84,broken clouds
251,Camacha,PT,33.0833,-16.3333,63.82,77,20,0.0,few clouds
252,Cabo San Lucas,MX,22.8909,-109.9124,95.61,66,5,11.34,clear sky
253,Brandon,US,27.9378,-82.2859,92.14,61,90,7.52,overcast clouds
254,Lebanon,US,36.2081,-86.2911,89.65,50,0,0.0,clear sky
255,Vwawa,TZ,-9.1167,32.9333,51.04,93,15,3.87,few clouds
