City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Bata,GQ,75.22,broken clouds,1.8639,9.7658,Hotel Elik Melen
325,Miandrivazo,MG,67.41,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
326,Nome,US,66.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
329,Male,MV,82.67,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
334,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
336,Blatna,CZ,64.26,broken clouds,49.4249,13.8818,Hotel Beránek
337,Buala,SB,83.48,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
338,Jinchang,CN,76.87,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
339,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
340,Pacific Grove,US,77.38,scattered clouds,36.6177,-121.9166,Lovers Point Inn
344,Balyaga,RU,63.39,broken clouds,51.1507,108.921,Gostinitsa
345,Puerto Ayacucho,VE,77.07,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
349,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
352,Verin,ES,81.23,overcast clouds,41.9415,-7.4381,Parador de Verín
354,Roma,US,77.5,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
355,Lima,PE,65.89,scattered clouds,-12.0432,-77.0282,Hotel Kamana
356,Kirakira,SB,82.78,scattered clouds,-10.4544,161.9205,SanBiz Lodge
359,Negara,ID,74.21,broken clouds,-8.3151,114.6025,Villa Maya West Bali
360,Dali,CN,63.64,clear sky,25.7,100.1833,Dali Travelling With Hostel
362,Craig,US,83.82,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
363,Kamen-Rybolov,RU,66.52,light rain,44.7481,132.0403,"The recreation center ""Olimp"""
366,Argos,GR,74.28,scattered clouds,37.6333,22.7333,Hotel Mycenae
368,Durban,ZA,64.02,clear sky,-29.8579,31.0292,Hilton Durban
370,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
371,Macklin,CA,75.54,overcast clouds,52.3334,-109.9348,Macklin Motor Inn
373,Salinopolis,BR,78.19,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
374,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
375,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
377,Norrtalje,SE,64.83,few clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
378,Camapua,BR,75.36,light rain,-19.5314,-54.0439,Comercial Estrela
379,Yanam,IN,73.56,overcast clouds,16.7333,82.2167,The Regency Hotel
383,Arroyo,ES,84.6,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
384,Horsham,GB,68.2,clear sky,51.064,-0.3272,Springfields Hotel
385,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
387,Bhanpura,IN,84.94,overcast clouds,24.513,75.7469,Gaurav wadhwa
390,Caraballeda,VE,82.47,few clouds,10.6112,-66.8522,Hotel 15 Letras
392,Tautira,PF,76.66,scattered clouds,-17.7333,-149.15,Pension Oaoa
